plant_id,date,parameter,value
501,2021-03-31,generation,1613.87000000011
501,2021-03-30,generation,1464.57999999984
501,2021-03-29,generation,1480.44999999995
501,2021-03-28,generation,1443.84000000008
501,2021-03-27,generation,1469.43999999994
501,2021-03-26,generation,1629.56000000006
501,2021-03-25,generation,1485.32000000007
501,2021-03-24,generation,1457.65999999992
501,2021-03-23,generation,1148.03000000003
501,2021-03-22,generation,1263.87000000011
501,2021-03-21,generation,1208.31999999983
501,2021-03-20,generation,1477.0
501,2021-03-19,generation,1124.60000000009
501,2021-03-18,generation,1111.04000000004
501,2021-03-17,generation,1150.46999999997
501,2021-03-16,generation,1358.32999999984
501,2021-03-15,generation,1383.43000000017
501,2021-03-14,generation,1472.8899999999
501,2021-03-13,generation,1571.71999999997
501,2021-03-12,generation,283.130000000121
501,2021-03-11,generation,1362.31000000006
501,2021-03-10,generation,1380.59999999986
501,2021-03-09,generation,1314.82000000007
501,2021-03-08,generation,1070.71999999997
501,2021-03-07,generation,1221.37999999989
501,2021-03-06,generation,1421.18000000017
501,2021-03-05,generation,1263.73999999999
501,2021-03-04,generation,1509.25
501,2021-03-03,generation,1597.57000000007
501,2021-03-02,generation,1606.90999999992
501,2021-03-01,generation,1415.55000000005
502,2021-03-31,irradiation,7866.94846838325
502,2021-03-31,generation,2158.46999999997
502,2021-03-30,irradiation,6409.55379452506
502,2021-03-30,generation,1780.47999999998
502,2021-03-29,irradiation,5864.68803852022
502,2021-03-29,generation,1681.92000000016
502,2021-03-28,irradiation,6371.66893942111
502,2021-03-28,generation,1791.60999999987
502,2021-03-27,irradiation,6273.90138132035
502,2021-03-27,generation,1755.39000000013
502,2021-03-26,irradiation,6807.79388917995
502,2021-03-26,generation,1887.23999999999
502,2021-03-25,irradiation,6152.0398197547
502,2021-03-25,generation,1769.33999999985
502,2021-03-24,irradiation,6665.12651036003
502,2021-03-24,generation,1650.05000000005
502,2021-03-23,irradiation,5814.75996991678
502,2021-03-23,generation,350.719999999972
502,2021-03-22,irradiation,3224.59945760591
502,2021-03-22,generation,979.969999999972
502,2021-03-21,irradiation,1314.72729503826
502,2021-03-21,generation,309.760000000009
502,2021-03-20,irradiation,6134.39423061989
502,2021-03-20,generation,1084.41000000015
502,2021-03-19,irradiation,6015.38647121859
502,2021-03-19,generation,1577.72999999998
502,2021-03-18,irradiation,4853.30476062093
502,2021-03-18,generation,1196.15999999992
502,2021-03-17,irradiation,5282.89374577682
502,2021-03-17,generation,1194.62000000011
502,2021-03-16,irradiation,5064.60229326061
502,2021-03-16,generation,1215.22999999998
502,2021-03-15,irradiation,3912.22519368085
502,2021-03-15,generation,449.030000000028
502,2021-03-14,irradiation,5551.71770051122
502,2021-03-14,generation,1475.83999999985
502,2021-03-13,irradiation,4688.03594212296
502,2021-03-13,generation,1320.95999999996
502,2021-03-12,irradiation,2832.44831606452
502,2021-03-12,generation,720.760000000009
502,2021-03-11,irradiation,5605.78841231548
502,2021-03-11,generation,1327.88000000012
502,2021-03-10,irradiation,5453.44588651181
502,2021-03-10,generation,1492.08999999985
502,2021-03-09,irradiation,5008.81761649864
502,2021-03-09,generation,1304.7100000002
502,2021-03-08,irradiation,5312.60864512707
502,2021-03-08,generation,624.119999999879
502,2021-03-07,irradiation,2030.77235479061
502,2021-03-07,generation,595.459999999963
502,2021-03-06,irradiation,5646.30482658339
502,2021-03-06,generation,1191.30000000005
502,2021-03-05,irradiation,6274.54369726471
502,2021-03-05,generation,1548.54000000004
502,2021-03-04,irradiation,5284.41577359781
502,2021-03-04,generation,1469.94999999995
502,2021-03-03,irradiation,5354.2286979311
502,2021-03-03,generation,1589.89000000013
502,2021-03-02,irradiation,6551.04429563827
502,2021-03-02,generation,1657.72999999998
502,2021-03-01,irradiation,5822.31202278298
502,2021-03-01,generation,474.489999999991
503,2021-03-31,irradiation,7634.8784647059
503,2021-03-31,generation,1703.75
503,2021-03-30,irradiation,6324.273807352955
503,2021-03-30,generation,1676.3699999999953
503,2021-03-29,irradiation,5230.174764705894
503,2021-03-29,generation,1452.8199999999488
503,2021-03-28,irradiation,6005.066982352956
503,2021-03-28,generation,1618.75
503,2021-03-27,irradiation,6551.594113235308
503,2021-03-27,generation,1752.8700000001118
503,2021-03-26,irradiation,6936.814747058841
503,2021-03-26,generation,1878.1899999999441
503,2021-03-25,irradiation,6434.086698529428
503,2021-03-25,generation,1647.5
503,2021-03-24,irradiation,6756.828935294133
503,2021-03-24,generation,1768.0600000000559
503,2021-03-23,irradiation,2013.7296838235336
503,2021-03-23,generation,307.0699999999488
503,2021-03-22,irradiation,3060.2999514705957
503,2021-03-22,generation,890.5599999999395
503,2021-03-21,irradiation,5630.846982352955
503,2021-03-21,generation,1479.75
503,2021-03-20,irradiation,6518.959927941191
503,2021-03-20,generation,1684.0600000000559
503,2021-03-19,irradiation,5024.546377941188
503,2021-03-19,generation,1242.1300000000047
503,2021-03-18,irradiation,5919.379107352955
503,2021-03-18,generation,1347.3099999999395
503,2021-03-17,irradiation,5909.292344117661
503,2021-03-17,generation,1556.9300000000512
503,2021-03-16,irradiation,5719.350679411778
503,2021-03-16,generation,647.0
503,2021-03-15,irradiation,5590.69587794119
503,2021-03-15,generation,1505.1300000000047
503,2021-03-14,irradiation,0.0
503,2021-03-14,generation,1767.0600000000559
503,2021-03-13,irradiation,4893.410951470601
503,2021-03-13,generation,1342.8099999999395
503,2021-03-12,irradiation,1990.2250323529454
503,2021-03-12,generation,597.8199999999488
503,2021-03-11,irradiation,5988.087833823544
503,2021-03-11,generation,1578.75
503,2021-03-10,irradiation,4713.668616176482
503,2021-03-10,generation,1275.75
503,2021-03-09,irradiation,5516.6815323529545
503,2021-03-09,generation,1488.0600000000559
503,2021-03-08,irradiation,5385.158377941189
503,2021-03-08,generation,400.9399999999441
503,2021-03-07,irradiation,4048.1723779411864
503,2021-03-07,generation,1106.75
503,2021-03-06,irradiation,6106.439911764722
503,2021-03-06,generation,1205.4300000000512
503,2021-03-05,irradiation,6334.873372058839
503,2021-03-05,generation,1718.1300000000047
503,2021-03-04,irradiation,6072.947722058838
503,2021-03-04,generation,1645.3100000000559
503,2021-03-03,irradiation,6464.064322058839
503,2021-03-03,generation,1229.3199999999488
503,2021-03-02,irradiation,6437.305257352957
503,2021-03-02,generation,1755.5599999999395
503,2021-03-01,irradiation,6351.2613397058985
503,2021-03-01,generation,1747.4400000000605
501,2021-03-31,irradiation,0.0
501,2021-03-30,irradiation,0.0
501,2021-03-29,irradiation,0.0
501,2021-03-28,irradiation,0.0
501,2021-03-27,irradiation,0.0
501,2021-03-26,irradiation,0.0
501,2021-03-25,irradiation,0.0
501,2021-03-24,irradiation,0.0
501,2021-03-23,irradiation,0.0
501,2021-03-22,irradiation,0.0
501,2021-03-21,irradiation,0.0
501,2021-03-20,irradiation,0.0
501,2021-03-19,irradiation,0.0
501,2021-03-18,irradiation,0.0
501,2021-03-17,irradiation,0.0
501,2021-03-16,irradiation,0.0
501,2021-03-15,irradiation,0.0
501,2021-03-14,irradiation,0.0
501,2021-03-13,irradiation,0.0
501,2021-03-12,irradiation,0.0
501,2021-03-11,irradiation,0.0
501,2021-03-10,irradiation,0.0
501,2021-03-09,irradiation,168.933487026002
501,2021-03-08,irradiation,4774.326642447665
501,2021-03-07,irradiation,5691.560580378992
501,2021-03-06,irradiation,6561.692866262677
501,2021-03-05,irradiation,6379.5276430607455
501,2021-03-04,irradiation,5997.638100222163
501,2021-03-03,irradiation,6630.930630403383
501,2021-03-02,irradiation,6658.392724353423
501,2021-03-01,irradiation,6123.131547727193
